
time,Alpha max r (percent),Beta max r (percent),Gamma max r (percent),Delta max r (percent),Alpha vs Beta r (percent),Alpha vs Beta r (Percent),Alpha vs Gamma r (percent),Alpha vs Gamma r (Percent),Beta vs Delta r (percent),Beta vs Delta r (Percent),Delta vs Gamma r (percent),Delta vs Gamma r (percent),Alpha max w,Beta max w,Gamma max w,Delta max w,Alpha vs Beta w,Alpha vs Beta w,Alpha vs Gamma w,Alpha vs Gamma w,Beta vs Delta w,Beta vs Delta w,Delta vs Gamma w,Delta vs Gamma w
2.929292929293,226.237921249264,275.293312520401,183.758231330762,139.110082431020,28.342642160524,172.391375889476,Inf,Inf,Inf,Inf,Inf,Inf,3.933622071141,4.514256203573,3.548405548391,1.058237665349,3.418649356411,0.901013654259,Inf,Inf,Inf,Inf,Inf,Inf
2.979797979798,226.237921249264,275.293312520401,183.758231330762,139.110082431020,27.616907624061,172.589960315368,Inf,Inf,Inf,Inf,Inf,Inf,4.095810772011,4.683482553823,3.678058582512,1.063380973185,3.573247673714,0.934663722172,Inf,Inf,Inf,Inf,Inf,Inf
3.030303030303,226.237921249264,275.293312520401,183.758231330762,139.110082431020,26.867040901670,172.793634685804,Inf,Inf,Inf,Inf,Inf,Inf,4.264686738260,4.858485434285,3.811907304401,1.068549278823,3.735260129859,0.969463838609,Inf,Inf,Inf,Inf,Inf,Inf
3.080808080808,226.237921249264,275.293312520401,183.758231330762,139.110082431020,26.092281891941,173.002472665576,Inf,Inf,Inf,Inf,Inf,Inf,4.440525695126,5.039422288618,3.950050758535,1.073742703758,3.905070991940,1.005446414245,Inf,Inf,Inf,Inf,Inf,Inf
3.131313131313,226.237921249264,275.293312520401,183.758231330762,139.110082431020,25.291847878796,173.216545894396,Inf,Inf,Inf,Inf,Inf,Inf,4.623614736383,5.226452104816,4.092587872403,1.078961370078,4.083086264845,1.042644346625,Inf,Inf,Inf,Inf,Inf,Inf
3.181818181818,226.237921249264,275.293312520401,183.758231330762,139.110082431020,24.464932840585,173.435923801086,Inf,Inf,Inf,Inf,Inf,Inf,4.814252793079,5.419735224638,4.239617267423,1.084205400461,4.269735028574,1.081091000634,Inf,Inf,Inf,Inf,Inf,Inf
3.232323232323,226.237921249264,275.293312520401,183.758231330762,139.110082431020,23.610706731658,173.660673414667,Inf,Inf,Inf,Inf,Inf,Inf,5.012751121604,5.619433137019,4.391237059225,1.089474918183,4.465470863940,1.120820186997,Inf,Inf,Inf,Inf,Inf,Inf
3.282828282828,226.237921249264,275.293312520401,183.758231330762,139.110082431020,22.728314734966,173.890859172764,Inf,Inf,Inf,Inf,Inf,Inf,5.219433811881,5.825708255053,4.547544647389,1.094770047120,4.670773372852,1.161866138746,Inf,Inf,Inf,Inf,Inf,Inf
3.333333333333,226.237921249264,275.293312520401,183.758231330762,139.110082431020,21.816876484201,174.126542727766,Inf,Inf,Inf,Inf,Inf,Inf,5.434638316512,6.038723676195,4.708636494774,1.100090911748,4.886149799849,1.204263485595,Inf,Inf,Inf,Inf,Inf,Inf
3.383838383838,226.237921249264,275.293312520401,183.758231330762,139.110082431020,20.875485253921,174.367782751196,Inf,Inf,Inf,Inf,Inf,Inf,5.658716001737,6.258642925369,4.874607896644,1.105437637150,5.112136762048,1.248047226163,Inf,Inf,Inf,Inf,Inf,Inf
3.434343434343,226.237921249264,275.293312520401,183.758231330762,139.110082431020,19.903207116038,174.614634736796,Inf,Inf,Inf,Inf,Inf,Inf,5.892032721116,6.485629680751,5.045552739882,1.110810349016,5.349302095193,1.293252697994,Inf,Inf,Inf,Inf,Inf,Inf
3.484848484848,226.237921249264,275.293312520401,183.758231330762,139.110082431020,18.899080061009,174.867150802827,Inf,Inf,Inf,Inf,Inf,Inf,6.134969412857,6.719847482063,5.221563252649,1.116209173646,5.598246824073,1.339915545332,Inf,Inf,Inf,Inf,Inf,Inf
3.535353535354,226.237921249264,275.293312520401,183.758231330762,139.110082431020,17.862113081995,175.125379494128,Inf,Inf,Inf,Inf,Inf,Inf,6.387922721780,6.961459421287,5.402729744946,1.121634237955,5.859607266215,1.388071684590,Inf,Inf,Inf,Inf,Inf,Inf
3.585858585859,226.237921249264,275.293312520401,183.758231330762,139.110082431020,16.791285220214,175.389365584478,Inf,Inf,Inf,Inf,Inf,Inf,6.651305646923,7.210627815813,5.589140340602,1.127085669476,6.134057278401,1.437757267490,Inf,Inf,Inf,Inf,Inf,Inf
3.636363636364,226.237921249264,275.293312520401,183.758231330762,139.110082431020,15.685544569657,175.659149879849,Inf,Inf,Inf,Inf,Inf,Inf,6.925548215846,7.467513864126,5.780880701332,1.132563596359,6.422310656296,1.489008641827,Inf,Inf,Inf,Inf,Inf,Inf
3.686868686869,226.237921249264,275.293312520401,183.758231330762,139.110082431020,14.543807239268,175.934769023123,Inf,Inf,Inf,Inf,Inf,Inf,7.211098186744,7.732277284236,5.978033743566,1.138068147379,6.725123698270,1.541862309835,Inf,Inf,Inf,Inf,Inf,Inf
3.737373737374,226.237921249264,275.293312520401,183.758231330762,139.110082431020,13.364956270668,176.216255300884,Inf,Inf,Inf,Inf,Inf,Inf,7.508421779505,8.005075935179,6.180679348886,1.143599451935,7.043297945308,1.596354884132,Inf,Inf,Inf,Inf,Inf,Inf
